sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
1124,"Tokha Municipality, Office of the Municipal Executive","Tokiyo bazar-Jagaran tol-Lomas chowk-Shantipath-Swetsadan jane bato pakki, ward-09",3437573.4,Works,NCB,Completed,05/NCB/TM/W/2079-080 ,,,Only e-Bid,05/NCB/TM/W/2079-080,,,Nuwakot,05-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,binaya nirman sewa,Rajan Shrestha,,,Single,,04-04-2024,03-04-2023,,02-04-2023,3512334.48,2079/80,,05/NCB/TM/W/2079-080,No,0.0,100,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,11-12-2022,3886261.0,500008289,,,0,05/NCB/TM/W/2079-080 
1125,"Tokha Municipality, Office of the Municipal Executive","Baniyatar Pool dekhi Ganesthan samma sadak Kalopatray, ward-11",9806930.0,Works,NCB,Completed,06/NCB/TM/W/2079-080 ,,,Only e-Bid,06/NCB/TM/W/2079-080,,,Kathmandu,05-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Freeman Business Pvt. Ltd,Amrit Neupane,,,Single,,04-04-2024,03-04-2023,,02-04-2023,11751130.52,2079/80,,06/NCB/TM/W/2079-080,No,0.0,100,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,05-12-2022,0.0,602395513,,,0,06/NCB/TM/W/2079-080 
1126,"Tokha Municipality, Office of the Municipal Executive","Greenland chowk warapara Kalopatray, ward-08",6226599.5,Works,NCB,In-Progress,07/NCB/TM/W/2079-080 ,,,Only e-Bid,07/NCB/TM/W/2079-080,,,Chitwan,15-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Apollo Infra pvt.ltd,Paras Adhikari,,,Single,,14-04-2024,13-04-2023,,12-04-2023,7484007.44,2079/80,,07/NCB/TM/W/2079-080,No,0.0,0,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,15-12-2022,0.0,609850226,,,0,07/NCB/TM/W/2079-080 
1127,"Tokha Municipality, Office of the Municipal Executive","Labu dekhi Faidol hudai Bhalung samma ra Laghu hudai Malung Road Upgrade, ward-02 & 01",6182959.5,Works,NCB,Completed,08/NCB/TM/W/2079-080 ,,,Only e-Bid,08/NCB/TM/W/2079-080,,,Kathmandu,05-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bio Engineering Construction,Binod Paudel,,,Single,,15-04-2024,14-04-2023,,13-04-2023,8372233.2,2079/80,,08/NCB/TM/W/2079-080,No,0.0,100,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,05-12-2022,6068446.0,11699627,,,0,08/NCB/TM/W/2079-080 
1128,"Tokha Municipality, Office of the Municipal Executive",Ward-10 ka Bibhina Sadak haru Overlay,3528535.9,Works,NCB,In-Progress,13/NCB/TM/W/2079-080 ,,,Only e-Bid,13/NCB/TM/W/2079-080,,,Rasuwa,23-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Karmi Dada Nirman Sewa,Nil Prasad Neupane,,,Single,,16-05-2024,15-05-2023,,14-05-2023,4247003.78,2079/80,,13/NCB/TM/W/2079-080,No,0.0,0,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,23-01-2023,0.0,500065169,,,0,13/NCB/TM/W/2079-080 
1129,"Tokha Municipality, Office of the Municipal Executive","Malung dekhi Niure khola jane sadak kalopatray, ward-01",5824310.5,Works,NCB,In-Progress,09/NCB/TM/W/2079-080 ,,,Only e-Bid,09/NCB/TM/W/2079-080,,,Kathmandu,05-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bio Engineering Construction,Binod Paudel,,,Single,,15-04-2024,14-04-2023,,13-04-2023,7886426.32,2078/79,,09/NCB/TM/W/2079-080,No,0.0,0,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,05-12-2022,0.0,116996273,,,0,09/NCB/TM/W/2079-080 
1130,"Tokha Municipality, Office of the Municipal Executive",Construction of Lift on Tilingatar School Block B Ward-07,4292325.2,Works,NCB,In-Progress,14/NCB/TM/W/2079-080 ,,,Only e-Bid,14/NCB/TM/W/2079-080,,,Kathmandu,15-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Creative Builders,Bijendra Jaiswal,,,Single,,15-04-2024,14-04-2023,,13-04-2023,4422716.57,2079/80,,14/NCB/TM/W/2079-080,No,0.0,0,,Lift Construction,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,15-12-2022,0.0,610059791,,,0,14/NCB/TM/W/2079-080 
1131,"Tokha Municipality, Office of the Municipal Executive","Bhuwaneswori Tole ra Sakriya Tole ma Sadak Kalopatray, ward-08",3253154.3,Works,NCB,Completed,17/NCB/TM/W/2079-080 ,,,Only e-Bid,17/NCB/TM/W/2079-080,,,Nuwakot,03-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,binaya nirman sewa,Rajan Shrestha,,,Single,,16-05-2024,15-05-2023,,14-05-2023,3925282.2,2079/80,,17/NCB/TM/W/2079-080,No,0.0,100,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,03-01-2023,3266981.0,500008289,,,0,17/NCB/TM/W/2079-080 
1132,"Tokha Municipality, Office of the Municipal Executive","Baluwapati-Dhaneswor -Dhamaltar-Bhatkepati Sadak Upgrade, ward-03",8959830.9,Works,NCB,In-Progress,18/NCB/TM/W/2079-080 ,,,Only e-Bid,18/NCB/TM/W/2079-080,,,Mugu,03-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,KTS Nirman Sewa,Keshab Raj Chaulagai,,,Single,,16-05-2024,15-05-2023,,14-05-2023,11888085.0,2079/80,,18/NCB/TM/W/2079-080,No,0.0,0,,Road Upgrade,2032,"Tokha Municipality, Office of the Municipal Executive",100,,,Internal Resource,03-01-2023,0.0,303678580,,,0,18/NCB/TM/W/2079-080 
1133,"Infrastructure Development Office, Bhojpur",Construction of Bhojpur Na.Paa.Dawa Dhalkebar to Temkemaiyung Gaa.Paa. Timma Road,1617667.89,Works,NCB,Completed,IDO/BHO/W/NCB-03/079/80,,,Only e-Bid,,,,Bhojpur,01-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bidur Nirman Sewa Pvt. Ltd.,Bidur Nirman Sewa Pvt. Ltd.,,,Single,,,,,13-04-2023,2399894.62,,,02/079/80,No,0.0,100,,Construction of Bhojpur Na.Paa. Dawa Dhalkebar to Temkemaiyung Gaa.Paa. Timma Road,1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,606905217,,,0,IDO/BHO/W/NCB-03/079/80
1134,"Infrastructure Development Office, Bhojpur",Construction of Khalde Bakchhen Santapur Bakhum Hangmathani Road,1996377.78,Works,NCB,Completed,IDO/BHO/W/NCB-04/079/80,,,Only e-Bid,,,,Bhojpur,02-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Jalpa Devi Nirman Sewa,Jalpa Devi Nirman Sewa,,,Single,,,,,,2399911.33,,,02/079/80,No,0.0,100,,Construction of Khalde Bakchhen Santapur Bakhum Hangmathani Road,1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,607781290,,,0,IDO/BHO/W/NCB-04/079/80
1135,"Infrastructure Development Office, Bhojpur","Construction of Nagi Anchaldanda Mahabhir Jharna Road Kalopatre Temkemaiyung GaPa, Bhojpur",4181667.94,Works,NCB,Completed,IDO/BHO/W/NCB-07/079/80,,,Only e-Bid,,,,Bhojpur,07-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bijaya Nirman Sewa,Bijaya Nirman Sewa,,,Single,,,,,,5758254.72,,,02/079/80,No,0.0,100,,"Earthworks, Structure etc",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,609110876,,,0,IDO/BHO/W/NCB-07/079/80
1136,"Infrastructure Development Office, Bhojpur","Construction of Balankha Sambarang Road upgrading Aamchowk GaPa 3&4, Bhojpur",1776927.2,Works,NCB,Completed,IDO/BHO/W/NCB-09/079/80,,,Only e-Bid,,,,Bhojpur,06-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Aayusha Organization Pvt. Ltd.,Aayusha Organaization Pvt. Ltd.,,,Single,,,,,,2067194.64,,,02/079/80,No,0.0,100,,Earthworks and Structure Works,1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,601319589,,,0,IDO/BHO/W/NCB-09/079/80
1137,"Infrastructure Development Office, Bhojpur",Construction of Balankha Thidinkha Pasalbhanjyang Bayang Road,3723900.88,Works,NCB,Completed,IDO/BHO/W/NCB-10/079/80,,,Only e-Bid,,,,Bhojpur,05-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Makalu Nirman Sewa,Makalu Nirman Sewa,,,Single,,,,,,4799794.96,,,02/079/80,No,0.0,100,,"Earthworks, Structure Works and Gravel works",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,301148210,,,0,IDO/BHO/W/NCB-10/079/80
1138,"Infrastructure Development Office, Bhojpur","Construction of Ranitar Aamchowk Pandhare Chakhewa Bhanjyang Road, Bhojpur",5281900.24,Works,NCB,Completed,IDO/BHO/W/NCB-11/079/80,,,Only e-Bid,,,,Bhojpur,06-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Aayusha Organization Pvt. Ltd.,Aayusha Organaization Pvt. Ltd.,,,Single,,,,,,6239908.65,,,02/079/80,No,0.0,100,,"Earthworks, Structure works and Sub base preparation",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,301619589,,,0,IDO/BHO/W/NCB-11/079/80
1139,"Infrastructure Development Office, Bhojpur","Construction of Ghoretar Phalamedhunga Purnebazar Bayang Pasalbhanjyang Balankha Road, Bhojpur",3927538.74,Works,NCB,Completed,IDO/BHO/W/NCB-12/079/80,,,Only e-Bid,,,,Bhojpur,02-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Jalpa Devi Nirman Sewa,Jalpa Devi Nirman Sewa,,,Single,,,,,,4799803.5,,,02/079/80,No,0.0,100,,"Earthworks, structure works",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,607781290,,,0,IDO/BHO/W/NCB-12/079/80
1140,"Road Infrastructure Developmant Office, Kapilvastu",Mayadevi Ga.Pa pitch road dekhi Thulo Gaura hudai Tuisidihawa Gaun samma road upgradation,2201017.02,Works,NCB,In-Progress,RIDOKAP/10134/NCB/079-80/62,,,Only e-Bid,0,,,Kapilvastu,27-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Shree Krishna Construction,Shree Krishna Construction,,,Single,,15-06-2024,16-06-2023,,15-06-2023,2999590.72,2079/80,,07/RIDOKAP/079-80/62,No,0.0,0,,ROAD UPGRADATION,4749,"Road Infrastructure Developmant Office, Kapilvastu",100,,,Goverment,27-01-2023,0.0,305306355,,,0,RIDOKAP/10134/NCB/079-80/62
1141,"Infrastructure Development Office, Bhojpur","Construction of Phalitar Yaku Road upgrading, Arun GaPa, Bhojpur",1917382.14,Works,NCB,Completed,IDO/BHO/W/NCB-13/079/80,,,Only e-Bid,,,,Bhojpur,01-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mansoon Nirman Sewa,Mansoon Nirman Sewa,,,Single,,,,,,2399736.69,,,02/079/80,No,0.0,100,,Earthworks and structure works,1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,617521556,,,0,IDO/BHO/W/NCB-13/079/80
1142,"Infrastructure Development Office, Bhojpur","Construction of Arun GaPa ward no. 7Bhojpur Besisahar Phuttetar Hangrayo Khola Bahrabise Road, Bhojpur",2065673.9,Works,NCB,Completed,IDO/BHO/W/NCB-14/079/80,,,Only e-Bid,,,,Bhojpur,01-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Saptakoshi Construction,Saptakoshi Construction,,,Single,,,,,,2399813.4,,,02/079/80,No,0.0,100,,"Earthworks, Structure works",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,606010588,,,0,IDO/BHO/W/NCB-14/079/80
1143,"Infrastructure Development Office, Bhojpur","Construction of Bharlabot Aarukharka Yaku Road upgrading, Bhojpur",0.0,Works,NCB,Completed,IDO/BHO/W/NCB-15/079/80,,,Only e-Bid,,,,Bhojpur,30-11-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Nath Nirman Sewa,Nath Nirman Sewa,,,Single,,,,,,2399865.73,,,02/079/80,No,0.0,100,,"Earthworks,RCC works etc",1959,"Infrastructure Development Office, Bhojpur",0,,,Goverment,,0.0,617600769,,,0,IDO/BHO/W/NCB-15/079/80
1144,Bharatpur Metropolitian City Office,"Blacktopped road construction at Bharatpur 16,17,18,27(Package-1)",49396732.24,Works,NCB,In-Progress,4-BMC/2079/080/W/NCB/5,,,Only e-Bid,,,,"Bharatpur-7,Chitwan",31-01-2023,Unit rate contract,Nepal,Nepal,Nepal,GMR-Dajubhai Joint Venture,GMR Construction Nepal (P).Ltd,Dajubhai Nirman sewa,,Joint Venture,,,,,31-12-2023,49548949.22,2079/80,,4-BMC/2079/080/W/NCB/5,No,49396732.24,0,,"Blacktopped road construction at Bharatpur 16,17,18,27(Package-1)",887,Bharatpur Metropolitian City Office,51,49,,Internal Resource,01-02-2023,0.0,606769835,305053336.0,,0,4-BMC/2079/080/W/NCB/5
1145,106 Division Road Office Harkapur,"Upgrading of road to blacktop standard with roadway excavation, structural and drainage works in Chesmitar-Salchautari Dikuwa Kurleghat road, Khotang",270475662.12,Works,NCB,In-Progress,RDHKR/33701176/2079/80-008,,,Only e-Bid,,,,Pokhara,03-02-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Fewa Construction,Fewa Construction,,,Single,,02-02-2027,02-02-2026,,02-02-2026,399979287.12,,,02/RDHKR/079-80,No,270475662.12,0,,"Upgrading of road to blacktop standard with roadway excavation, structural and drainage works in Chesmitar-Salchautari Dikuwa Kurleghat road, Khotang",80,106 Division Road Office Harkapur,100,,,Goverment,03-02-2023,0.0,301889168,,,0,RDHKR/33701176/2079/80-008
1146,106 Division Road Office Harkapur,"Upgrading of road to blacktop standard with roadway excavation, structural and drainage works in Chesmitar-Salchautari Dikuwa Kurleghat road, Khotang",270475662.12,Works,NCB,In-Progress,RDHKR/33701176/079/80-008,,,Only e-Bid,,,,Pokhara,03-02-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Fewa Construction,Fewa Construction,,,Single,,02-02-2027,03-02-2026,,02-02-2026,399979287.55,2079/80,,02/RDHKR/079-80,No,270475662.12,0,,"Upgrading of road to blacktop standard with roadway excavation, structural and drainage works in Chesmitar-Salchautari Dikuwa Kurleghat road, Khotang",80,106 Division Road Office Harkapur,100,,,Goverment,03-02-2023,0.0,301889168,,,0,RDHKR/33701176/079/80-008
1147,106 Division Road Office Harkapur,"Upgrading of road to blacktop standard and new track opening with roadway excavation. structural and drainage works in Molung Eakbar Harkapur Patle road, Okhaldhunga",227069224.37,Works,NCB,In-Progress,RDHKR/33701176/2079/80-007,,,Only e-Bid,,,,Kathmandu,31-01-2023,Unit rate contract,Nepal,Nepal,--Select Country--,Mahalaxmi-Bhujel J/V,Mahalaxmi Construction Concern Pvt. Ltd.,Bhujel Nirman Sewa,,Joint Venture,,01-02-2027,31-01-2026,,30-01-2026,399997531.83,2079/80,,02/RDHKR/079-80,No,227069224.37,0,,"Upgrading of road to blacktop standard and new track opening with roadway excavation. structural and drainage works in Molung Eakbar Harkapur Patle road, Okhaldhunga",80,106 Division Road Office Harkapur,60,40,,Goverment,31-01-2023,0.0,300052341,300525690.0,,0,RDHKR/33701176/2079/80-007
1148,106 Division Road Office Harkapur,"Painting, Traffic Sign Post & Delineator Works on SRN Roads",2957056.32,Works,NCB,In-Progress,RDHKR/337310113/2079/80-10(Re),,,Only e-Bid,,,,Solukhumbu,10-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bashu Construction & Suppliers,Bashu Construction & Suppliers,,,Single,,10-07-2024,11-07-2023,,10-07-2023,3486436.67,2079/80,,04/RDHKR/2079/80,No,2957056.32,0,,"Painting, Traffic Sign Post & Delineator Works on SRN Roads",80,106 Division Road Office Harkapur,100,,,Goverment,10-01-2023,0.0,611764542,,,0,RDHKR/337310113/2079/80-10(Re)
1149,106 Division Road Office Harkapur,"Construction of office/staff quarter building, harkapur, okhaldhunga",20871045.93,Works,NCB,In-Progress,RDHKR/33701012/2079/80-009,,,Only e-Bid,,,,Kathmandu,26-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Nerisa Construction Company Pvt. Ltd.,Nerisa Construction Company Pvt. Ltd.,,,Single,,25-01-2026,26-01-2025,,25-01-2025,31223999.02,2079/80,,02/RDHKR/079-80,No,20871045.93,0,,"Construction of office/staff quarter building, harkapur, okhaldhunga",80,106 Division Road Office Harkapur,100,,,Goverment,26-01-2023,0.0,601866937,,,0,RDHKR/33701012/2079/80-009
1150,"Urban Development and Building Office, Rolpa","Ghodagaun Basti Bikash ( RCC Road & Masonry Wall Construction Works), Sunilsmriti-1, Rolpa.",1684456.31,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/01-2079/80,,,Only e-Bid,,,,"Sworgadwari-5,Pyuthan",19-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,M.H.Pushpakendra Engineering and Construction pvt.ltd,Dev Builders Pvt.Ltd,,,Single,,,,,14-05-2023,2394261.19,2079/80,,UDBO/ROLPA/NCB/WORKS/01-2079/80,No,1684456.31,0,,"Ghodagaun Basti Bikash ( RCC Road & Masonry Wall Construction
Works), Sunilsmriti-1, Rolpa.",4855,"Urban Development and Building Office, Rolpa",100,,,Goverment,25-01-2023,0.0,610079456,,,0,UDBO/ROLPA/NCB/WORKS/01-2079/80
1151,"Urban Development and Building Office, Rolpa","Harjang Basti Bikash (RCC Road and steps construction works),Lungri 7 Rolpa.",2011381.3,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/02-79/80,,,Only e-Bid,,,,"Sworgadwari-5,Pyuthan",19-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,M.H.Pushpakendra Engineering and Construction pvt.ltd,M.H.Pushpakendra Engineering and Construction pvt.ltd,,,Single,,,,,14-05-2023,2419049.66,2079/80,,UDBO/ROLPA/NCB/WORKS/02-79/80,No,2011381.3,0,,"Harjang Basti Bikash (RCC Road and steps construction works),Lungri 7
Rolpa.",4855,"Urban Development and Building Office, Rolpa",100,,,Goverment,25-01-2023,0.0,610079456,,,0,UDBO/ROLPA/NCB/WORKS/02-79/80
1152,"Urban Development and Building Office, Rolpa",Lakasmare Bhunbhune Bastibikas (Masonary drain & road extention works)Rolpa Na Pa 10.,1803425.13,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/04-2079/080,,,Only e-Bid,,,,"Liwang-06,Rolpa",09-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,De Bishesh Tara Nirman sewa,De Bishesh Tara Nirman sewa,,,Single,,,,,14-05-2023,2413805.31,2079/80,,UDBO/ROLPA/NCB/WORKS/04-2079/080,No,1803425.13,0,,Lakasmare Bhunbhune Bastibikas (Masonary drain & road extention works)Rolpa Na Pa 10.,4855,"Urban Development and Building Office, Rolpa",100,,,Goverment,15-01-2023,0.0,602812412,,,0,UDBO/ROLPA/NCB/WORKS/04-2079/080
1153,"Urban Development and Building Office, Rolpa","Jayachour Basti Bikash ( Retaining Structure Construction Works), Gangadev-7, Rolpa",1712326.91,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/05-2079/80,,,Only e-Bid,,,,"Kathmandu-32,Pepsikola",10-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Hira and Bishnu Construction pvt.ltd,Hira and Bishnu Construction pvt.ltd,,,Single,,,,,14-05-2023,2404548.67,2079/80,,UDBO/ROLPA/NCB/WORKS/05-2079/80,No,1712326.91,0,,"Jayachour Basti Bikash ( Retaining Structure Construction Works),
Gangadev-7, Rolpa",4855,"Urban Development and Building Office, Rolpa",100,,,--Select source of Fund --,16-01-2023,0.0,609836765,,,0,UDBO/ROLPA/NCB/WORKS/05-2079/80
1154,Road Division Chandranigahpur,"Construction of RCC Drain & Rigid Pavement  Works along Gaur Na. Pa. 3 Bidyapatinagar, Saswat Marg, Rautahat",2831923.51,Works,NCB,Completed,RDCNP/33701138/2079/80-10,,,Only e-Bid,,,,"Gaur-9, Rautahat",29-12-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gauri Ganesh Nirman Sewa,Gauri Ganesh Nirman Sewa,,,Single,,01-08-2024,01-07-2023,,01-07-2023,4828786.18,2079/80,,RDCNP/33701138/2079/80-10,No,0.0,100,,"Construction of RCC Drain & Rigid Pavement  Works along Gaur Na. Pa. 3 Bidyapatinagar, Saswat Marg, Rautahat",86,Road Division Chandranigahpur,100,,,Goverment,29-12-2022,2399633.0,302664148,,,0,RDCNP/33701138/2079/80-10
1155,Road Division Chandranigahpur,"Road Improvement Work (Construction of Four lane Road) along Chandranigahpur-Gaur  Road,  Rautahat",139367649.3,Works,NCB,In-Progress,RDCNP/33701138/2079/80-06,,,Only e-Bid,,,,"Basundhara, Kathmandu",18-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Aashray Nirman Sewa Pvt.Ltd,Aashray Nirman Sewa Pvt.Ltd,,,Single,,16-02-2026,16-01-2025,,16-01-2025,165089686.96,2079/80,,RDCNP/33701138/2079/80-06,No,0.0,0,,"Road Improvement Work (Construction of Four lane Road) along Chandranigahpur-Gaur  Road,  Rautahat",86,Road Division Chandranigahpur,100,,,Goverment,18-01-2023,0.0,303824071,,,0,RDCNP/33701138/2079/80-06
1156,Road Division Chandranigahpur,"Road Improvement along Malangawa Nawalpur Road, Sarlahi",141540299.83,Works,NCB,In-Progress,RDCNP/33701138/2079/80-08,,,Only e-Bid,,,,"Buddhanagar, Kathmandu",12-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Dhukuchhu Constructions Pvt.Ltd.,Dhukuchhu Constructions Pvt.Ltd.,,,Single,,06-10-2024,06-09-2023,,06-09-2023,144858318.85,2079/80,,RDCNP/33701138/2079/80-08,No,0.0,0,,"Road Improvement along Malangawa Nawalpur Road, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,12-01-2023,0.0,300057555,,,0,RDCNP/33701138/2079/80-08
1157,Road Division Chandranigahpur,"Construction of RCC bridge over Banke river connecting Haripurwa and Ishworpur Muncipality road, Sarlahi",56503152.85,Works,NCB,In-Progress,RDCNP/33701138/2079/80-09,,,Only e-Bid,,,,"Jankpur, Dhanusa",20-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Aksis Asean constration Company pvt.ltd.,Aksis Asean constration Company pvt.ltd.,,,Single,,17-02-2026,17-01-2025,,17-01-2025,68477266.61,2079/80,,RDCNP/33701138/2079/80-09,No,0.0,0,,"Construction of RCC bridge over Banke river connecting Haripurwa and Ishworpur Muncipality road, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,20-01-2023,0.0,601205121,,,0,RDCNP/33701138/2079/80-09
1158,Road Division Chandranigahpur,"Road Improvement along Ishworpur-13 Shreenagar dekhi Chaulikha bazzar to Gair bazzar road, Sarlahi",7055453.32,Works,NCB,In-Progress,RDCNP/33701169/2079/80-12,,,Only e-Bid,,,,"Kapan, Kathmandu",31-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yati Cosnstructions,Yati Cosnstructions,,,Single,,05-08-2024,05-07-2023,,05-07-2023,9901762.71,2079/80,,RDCNP/33701169/2079/80-12,No,0.0,0,,"Road Improvement along Ishworpur-13 Shreenagar dekhi Chaulikha bazzar to Gair bazzar road, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,31-01-2023,0.0,300141232,,,0,RDCNP/33701169/2079/80-12
1159,Road Division Chandranigahpur,"Road Improvement along Haripurwa-6 bazzar dekhi Ishworpur-15 Soknaha hudai Haripurwa-9 Bagewa road, Sarlahi",3322777.15,Works,NCB,In-Progress,RDCNP/33701169/2079/80-13,,,Only e-Bid,,,,"Balaju, Kathmandu",31-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yuni Global Construction,Yuni Global Construction,,,Single,,05-08-2024,05-07-2023,,05-07-2023,4819543.44,2079/80,,RDCNP/33701169/2079/80-13,No,0.0,0,,"Road Improvement along Haripurwa-6 bazzar dekhi Ishworpur-15 Soknaha hudai Haripurwa-9 Bagewa road, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,31-01-2023,0.0,603213436,,,0,RDCNP/33701169/2079/80-13
1160,Road Division Chandranigahpur,"Road Improvement along Haripurwa- 3 Mahadev temple hudai Ishworpur-15 road, Sarlahi",3414187.08,Works,NCB,In-Progress,RDCNP/33701169/2079/80-15,,,Only e-Bid,,,,"Balaju-16, KTM",31-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yuni Global Construction,Yuni Global Construction,,,Single,,05-08-2024,05-07-2023,,05-07-2023,4826808.97,2079/80,,RDCNP/33701169/2079/80-15,No,0.0,0,,"Road Improvement along Haripurwa-
3 Mahadev temple hudai Ishworpur-15
road, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,31-01-2023,0.0,605970487,,,0,RDCNP/33701169/2079/80-15
1161,Road Division Chandranigahpur,"Road Improvement Works along Sangrampur Hulaki Highway To Mahendra Highway, Sarlahi",3392649.85,Works,NCB,In-Progress,RDCNP/33701169/2079/80-20,,,Only e-Bid,,,,"Balaju, Kathmandu",31-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yuni  Global Constructions,Yuni  Global Constructions,,,Single,,05-08-2024,05-07-2023,,05-07-2023,4697339.64,2079/80,,RDCNP/33701169/2079/80-20,No,0.0,0,,"Road Improvement Works along Sangrampur Hulaki Highway To Mahendra Highway, Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,31-01-2023,0.0,603213436,,,0,RDCNP/33701169/2079/80-20
1162,Road Division Chandranigahpur,"Road Improvement Works along Ramban Dekhi Sehauna Hudai Mahinathpur Bagmati Baandh Sammako Sadak , Sarlahi",4066865.48,Works,NCB,Completed,RDCNP/33701169/2079/80-22,,,Only e-Bid,,,,"Katahariya, Rautahat",31-01-2023,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gadhimai Riya constrations,Gadhimai Riya constrations,,,Single,,05-08-2024,05-07-2023,,05-07-2023,4828602.4,2079/80,,RDCNP/33701169/2079/80-22,No,0.0,100,,"Road Improvement Works along Ramban Dekhi Sehauna Hudai Mahinathpur Bagmati Baandh Sammako Sadak , Sarlahi",86,Road Division Chandranigahpur,100,,,Goverment,31-01-2023,406379933.0,611013617,,,0,RDCNP/33701169/2079/80-22
